File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF273WUQ	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF646NWY/, /files/ENCFF415FEC/	11499158	ENCODE Processing Pipeline	a413279fe08d6b2bb784e54b4e19d608		https://www.encodeproject.org/files/ENCFF273WUQ/@@download/ENCFF273WUQ.bed.gz				released	s3://encode-public/2021/02/24/8c74a418-34ef-4dd5-8ef5-f18c394a7d1f/ENCFF273WUQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/8c74a418-34ef-4dd5-8ef5-f18c394a7d1f/ENCFF273WUQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF809IIJ	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF614SMH/	5979982	ENCODE Processing Pipeline	45d610d8b7b0ed5f49b97ec2ff916d0d		https://www.encodeproject.org/files/ENCFF809IIJ/@@download/ENCFF809IIJ.bigBed				released	s3://encode-public/2021/02/24/e2cd6167-3128-4b66-9a44-5b7f65817ce9/ENCFF809IIJ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/e2cd6167-3128-4b66-9a44-5b7f65817ce9/ENCFF809IIJ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF290DWH	bam	bam		unfiltered alignments	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1		101					/files/ENCFF411MVZ/, /files/ENCFF110MCL/, /files/ENCFF736ZWY/	5048707761	ENCODE Processing Pipeline	13cabac80e1e71a9d9c8ef61d63d2b23		https://www.encodeproject.org/files/ENCFF290DWH/@@download/ENCFF290DWH.bam				released	s3://encode-public/2021/02/24/775aacae-c503-4c9f-82fb-f7da43bf2e84/ENCFF290DWH.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/775aacae-c503-4c9f-82fb-f7da43bf2e84/ENCFF290DWH.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF878MKE	bam	bam		unfiltered alignments	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1		101					/files/ENCFF195FRB/, /files/ENCFF196VAZ/, /files/ENCFF110MCL/	4906261739	ENCODE Processing Pipeline	8a0a4fd5cc60b441b88db4b5c6a0eab1		https://www.encodeproject.org/files/ENCFF878MKE/@@download/ENCFF878MKE.bam				released	s3://encode-public/2021/02/24/4d8a7507-33de-4795-acbb-e01d42e1bb13/ENCFF878MKE.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/4d8a7507-33de-4795-acbb-e01d42e1bb13/ENCFF878MKE.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF415FEC	bam	bam		alignments	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1		101					/files/ENCFF493CCB/, /files/ENCFF212UAV/, /files/ENCFF140XLU/, /files/ENCFF736ZWY/, /files/ENCFF110MCL/, /files/ENCFF304XEX/, /files/ENCFF411MVZ/, /files/ENCFF356LFX/	2515550487	ENCODE Processing Pipeline	aca6bde5b395777573e7cf94a04c2024		https://www.encodeproject.org/files/ENCFF415FEC/@@download/ENCFF415FEC.bam				released	s3://encode-public/2021/02/24/e49caba2-1585-4e61-bafa-ff922467202c/ENCFF415FEC.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/e49caba2-1585-4e61-bafa-ff922467202c/ENCFF415FEC.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF646NWY	bam	bam		alignments	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1		101					/files/ENCFF493CCB/, /files/ENCFF212UAV/, /files/ENCFF140XLU/, /files/ENCFF110MCL/, /files/ENCFF304XEX/, /files/ENCFF196VAZ/, /files/ENCFF195FRB/, /files/ENCFF356LFX/	2828953464	ENCODE Processing Pipeline	63f2d76a79216d623872f66653ec0d41		https://www.encodeproject.org/files/ENCFF646NWY/@@download/ENCFF646NWY.bam				released	s3://encode-public/2021/02/24/baf5cad2-f9e6-4adc-84d8-5ec034b49977/ENCFF646NWY.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/baf5cad2-f9e6-4adc-84d8-5ec034b49977/ENCFF646NWY.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF225HCI	bigWig	bigWig		signal p-value	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1							/files/ENCFF415FEC/	323359030	ENCODE Processing Pipeline	100e6b9b827efa2c70cfa81a9e6b2779		https://www.encodeproject.org/files/ENCFF225HCI/@@download/ENCFF225HCI.bigWig				released	s3://encode-public/2021/02/24/56363e05-7772-43fe-b88d-76c92926a1e8/ENCFF225HCI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/56363e05-7772-43fe-b88d-76c92926a1e8/ENCFF225HCI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF316PVI	bigWig	bigWig		fold change over control	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1							/files/ENCFF415FEC/	457181526	ENCODE Processing Pipeline	69e4518d962facdcbc2a8dd77fad5f16		https://www.encodeproject.org/files/ENCFF316PVI/@@download/ENCFF316PVI.bigWig				released	s3://encode-public/2021/02/24/d0e539d7-f2b6-48e2-a0ad-473448aff27d/ENCFF316PVI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/d0e539d7-f2b6-48e2-a0ad-473448aff27d/ENCFF316PVI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF672ZZF	bigWig	bigWig		signal p-value	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF646NWY/	398930304	ENCODE Processing Pipeline	3c134aa327ef655023f40a819eb5aaa1		https://www.encodeproject.org/files/ENCFF672ZZF/@@download/ENCFF672ZZF.bigWig				released	s3://encode-public/2021/02/24/82079331-c112-4bf4-8821-f85d09b5db51/ENCFF672ZZF.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/82079331-c112-4bf4-8821-f85d09b5db51/ENCFF672ZZF.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF745TKD	bigWig	bigWig		fold change over control	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF646NWY/	550385486	ENCODE Processing Pipeline	9b642fcb380566321af830dc93dde408		https://www.encodeproject.org/files/ENCFF745TKD/@@download/ENCFF745TKD.bigWig				released	s3://encode-public/2021/02/24/74e27d26-b0b7-40ca-9dc5-2b2de9369f43/ENCFF745TKD.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/74e27d26-b0b7-40ca-9dc5-2b2de9369f43/ENCFF745TKD.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF180ZAY	bigWig	bigWig		signal p-value	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF646NWY/, /files/ENCFF415FEC/	502129487	ENCODE Processing Pipeline	a00fc22d0cc8807c02d78487a4a12618		https://www.encodeproject.org/files/ENCFF180ZAY/@@download/ENCFF180ZAY.bigWig				released	s3://encode-public/2021/02/24/92ceffa5-fad0-4ea0-8e13-8df9a8f9da66/ENCFF180ZAY.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/92ceffa5-fad0-4ea0-8e13-8df9a8f9da66/ENCFF180ZAY.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF917REN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1							/files/ENCFF415FEC/, /files/ENCFF356LFX/	2427146	ENCODE Processing Pipeline	35bc81b3de49b95419e1544383949361		https://www.encodeproject.org/files/ENCFF917REN/@@download/ENCFF917REN.bed.gz				released	s3://encode-public/2021/02/24/0e5ffdb3-df43-47bf-be89-cadc3cf75d1b/ENCFF917REN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/0e5ffdb3-df43-47bf-be89-cadc3cf75d1b/ENCFF917REN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF945SYZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF646NWY/, /files/ENCFF415FEC/, /files/ENCFF356LFX/	3476303	ENCODE Processing Pipeline	698c4463f51b7b1db0e040b720ce032f		https://www.encodeproject.org/files/ENCFF945SYZ/@@download/ENCFF945SYZ.bed.gz				released	s3://encode-public/2021/02/24/daad6883-45c9-4063-a558-fcd2596e66a1/ENCFF945SYZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/daad6883-45c9-4063-a558-fcd2596e66a1/ENCFF945SYZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF013HLW	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF470YYO/	11849563	ENCODE Processing Pipeline	ad70b85517f35c29330e7482f1b3bfbe		https://www.encodeproject.org/files/ENCFF013HLW/@@download/ENCFF013HLW.bigBed				released	s3://encode-public/2021/02/24/3fab9d1f-09d5-4163-ab28-90426f4e3108/ENCFF013HLW.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/3fab9d1f-09d5-4163-ab28-90426f4e3108/ENCFF013HLW.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF487LOB	bigWig	bigWig		fold change over control	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF646NWY/, /files/ENCFF415FEC/	869846542	ENCODE Processing Pipeline	f95a4eeec1156e2e1dc392ab988ae28a		https://www.encodeproject.org/files/ENCFF487LOB/@@download/ENCFF487LOB.bigWig				released	s3://encode-public/2021/02/24/4c49a77a-edb2-4766-8328-d44ebe7446eb/ENCFF487LOB.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/4c49a77a-edb2-4766-8328-d44ebe7446eb/ENCFF487LOB.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF203QDA	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF646NWY/	9952690	ENCODE Processing Pipeline	11e6fdada6bcec72841e4182059e9bf4		https://www.encodeproject.org/files/ENCFF203QDA/@@download/ENCFF203QDA.bed.gz				released	s3://encode-public/2021/02/24/3f499bc0-70c2-447a-a22d-c055a23b6dbc/ENCFF203QDA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/3f499bc0-70c2-447a-a22d-c055a23b6dbc/ENCFF203QDA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
