File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF358NJW	bigWig	bigWig		signal p-value	GRCh38	ENCSR000DZU	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										USF2-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF977QBD/, /files/ENCFF863XTX/, /files/ENCFF213IWO/, /files/ENCFF278NPZ/	328108000	ENCODE Processing Pipeline	539daa15081a501d3327eca4a493073e		https://www.encodeproject.org/files/ENCFF358NJW/@@download/ENCFF358NJW.bigWig				released	s3://encode-public/2020/12/11/b4c097b6-4642-4996-af80-c5e0e1c5bed7/ENCFF358NJW.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/12/11/b4c097b6-4642-4996-af80-c5e0e1c5bed7/ENCFF358NJW.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, improper control_type of control experiment, borderline replicate concordance, low read depth		
ENCFF078SJX	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DZU	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										USF2-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF196JQW/	185579	ENCODE Processing Pipeline	3bd548240d79382097b009eba6b859c1		https://www.encodeproject.org/files/ENCFF078SJX/@@download/ENCFF078SJX.bigBed				released	s3://encode-public/2020/12/11/cb9c8167-84cc-45fb-bb36-1a46e30af658/ENCFF078SJX.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/11/cb9c8167-84cc-45fb-bb36-1a46e30af658/ENCFF078SJX.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, improper control_type of control experiment, borderline replicate concordance, low read depth		
ENCFF708UJN	bigWig	bigWig		signal p-value	GRCh38	ENCSR819ATC	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										MYB-human	DNA						2014-07-07	ENCODE			150-350	1, 3	1_1, 3_1							/files/ENCFF648JIW/, /files/ENCFF500GXC/, /files/ENCFF402BOP/, /files/ENCFF969KVU/	862792104	ENCODE Processing Pipeline	7d226f240a4aa3f583f80f25442b82d3		https://www.encodeproject.org/files/ENCFF708UJN/@@download/ENCFF708UJN.bigWig				released	s3://encode-public/2020/11/30/cea5e961-c5ce-44c4-ba76-57c650973c9b/ENCFF708UJN.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/30/cea5e961-c5ce-44c4-ba76-57c650973c9b/ENCFF708UJN.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mild to moderate bottlenecking, low read depth, borderline replicate concordance		
ENCFF904SON	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR819ATC	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										MYB-human	DNA						2014-07-07	ENCODE			150-350	1, 3	1_1, 3_1							/files/ENCFF705CGM/	163185	ENCODE Processing Pipeline	281cf4b9a7baede12abb05f2c6ee316f		https://www.encodeproject.org/files/ENCFF904SON/@@download/ENCFF904SON.bigBed				released	s3://encode-public/2020/11/30/e03614d7-59a7-4fdc-ac5d-dbc849289930/ENCFF904SON.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/11/30/e03614d7-59a7-4fdc-ac5d-dbc849289930/ENCFF904SON.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mild to moderate bottlenecking, low read depth, borderline replicate concordance		
ENCFF705CGM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR819ATC	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										MYB-human	DNA						2014-07-07	ENCODE			150-350	1, 3	1_1, 3_1							/files/ENCFF402BOP/, /files/ENCFF356LFX/, /files/ENCFF648JIW/, /files/ENCFF969KVU/, /files/ENCFF500GXC/	68416	ENCODE Processing Pipeline	1b16672375637a21b3e84f1476e184e6		https://www.encodeproject.org/files/ENCFF705CGM/@@download/ENCFF705CGM.bed.gz				released	s3://encode-public/2020/11/30/9b6322a6-2e40-49fc-8700-3f415d8be7b8/ENCFF705CGM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/30/9b6322a6-2e40-49fc-8700-3f415d8be7b8/ENCFF705CGM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mild to moderate bottlenecking, low read depth, borderline replicate concordance		
ENCFF277AUO	bigWig	bigWig		signal p-value	GRCh38	ENCSR117KWH	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF207-human	DNA						2014-07-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF634UNM/, /files/ENCFF526WYZ/, /files/ENCFF184HZS/, /files/ENCFF783FZL/	2235294388	ENCODE Processing Pipeline	f18d93df1ff63cf24920e37495a82caf		https://www.encodeproject.org/files/ENCFF277AUO/@@download/ENCFF277AUO.bigWig				released	s3://encode-public/2020/11/28/b8035654-b3ce-42a8-a4c7-bb9b05e2d99c/ENCFF277AUO.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/b8035654-b3ce-42a8-a4c7-bb9b05e2d99c/ENCFF277AUO.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking, borderline replicate concordance		
ENCFF153KBD	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR117KWH	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF207-human	DNA						2014-07-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF854NOE/	380401	ENCODE Processing Pipeline	f31528e40e02338a152deee0b33ae7bd		https://www.encodeproject.org/files/ENCFF153KBD/@@download/ENCFF153KBD.bigBed				released	s3://encode-public/2020/11/28/798ed680-2524-4023-9af9-82b44034c6c8/ENCFF153KBD.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/798ed680-2524-4023-9af9-82b44034c6c8/ENCFF153KBD.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking, borderline replicate concordance		
ENCFF854NOE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR117KWH	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF207-human	DNA						2014-07-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF783FZL/, /files/ENCFF634UNM/, /files/ENCFF526WYZ/, /files/ENCFF184HZS/, /files/ENCFF356LFX/	200391	ENCODE Processing Pipeline	32505e6a67af2276e9f74c92acc18610		https://www.encodeproject.org/files/ENCFF854NOE/@@download/ENCFF854NOE.bed.gz				released	s3://encode-public/2020/11/28/67e318b8-80f4-45c6-ab96-8197dbbc53e1/ENCFF854NOE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/67e318b8-80f4-45c6-ab96-8197dbbc53e1/ENCFF854NOE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking, borderline replicate concordance		
ENCFF093KLR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR331HPA	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										GABPA-human	DNA						2014-06-30	ENCODE				1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF339NUH/, /files/ENCFF025AON/, /files/ENCFF305BPN/, /files/ENCFF526CAL/, /files/ENCFF691UEA/	257527	ENCODE Processing Pipeline	11412bed6e2135fce66a1de7da6f4241		https://www.encodeproject.org/files/ENCFF093KLR/@@download/ENCFF093KLR.bed.gz				released	s3://encode-public/2020/12/30/5fd3b09f-fe43-4a9f-b9c6-f753829e3809/ENCFF093KLR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/30/5fd3b09f-fe43-4a9f-b9c6-f753829e3809/ENCFF093KLR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, antibody characterized with exemption, mild to moderate bottlenecking, low read depth		
ENCFF872TWR	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR331HPA	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										GABPA-human	DNA						2014-06-30	ENCODE				1, 2	1_1, 2_1							/files/ENCFF093KLR/	513846	ENCODE Processing Pipeline	440c1c1f8abd61d0ac3cf9ee744fbdfb		https://www.encodeproject.org/files/ENCFF872TWR/@@download/ENCFF872TWR.bigBed				released	s3://encode-public/2020/12/30/d72eb522-3981-4f7e-9f35-8c5fffd7c23a/ENCFF872TWR.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/30/d72eb522-3981-4f7e-9f35-8c5fffd7c23a/ENCFF872TWR.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, antibody characterized with exemption, mild to moderate bottlenecking, low read depth		
ENCFF433TLK	bigWig	bigWig		signal p-value	GRCh38	ENCSR331HPA	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										GABPA-human	DNA						2014-06-30	ENCODE				1, 2	1_1, 2_1							/files/ENCFF339NUH/, /files/ENCFF025AON/, /files/ENCFF305BPN/, /files/ENCFF526CAL/, /files/ENCFF691UEA/	1005049229	ENCODE Processing Pipeline	352a0a2b72db108e3169c6a146970d46		https://www.encodeproject.org/files/ENCFF433TLK/@@download/ENCFF433TLK.bigWig				released	s3://encode-public/2020/12/30/b213490a-30fc-4365-a9c0-ed2d71ea233b/ENCFF433TLK.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/12/30/b213490a-30fc-4365-a9c0-ed2d71ea233b/ENCFF433TLK.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, antibody characterized with exemption, mild to moderate bottlenecking, low read depth		
ENCFF295SGB	bigWig	bigWig		signal p-value	GRCh38	ENCSR514VAY	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										HCFC1-human	DNA						2014-07-07	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF516MCF/, /files/ENCFF402BOP/, /files/ENCFF049MIZ/, /files/ENCFF500GXC/	1057928677	ENCODE Processing Pipeline	231e274c040ea9b7fad2e742a20ff0ed		https://www.encodeproject.org/files/ENCFF295SGB/@@download/ENCFF295SGB.bigWig				released	s3://encode-public/2020/12/01/04760546-2f94-4b60-9696-6eb558390090/ENCFF295SGB.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/04760546-2f94-4b60-9696-6eb558390090/ENCFF295SGB.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length		
ENCFF479QQB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR514VAY	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										HCFC1-human	DNA						2014-07-07	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF500GXC/, /files/ENCFF516MCF/, /files/ENCFF402BOP/, /files/ENCFF049MIZ/, /files/ENCFF356LFX/	166233	ENCODE Processing Pipeline	0eb0e0c56d34cf9ba93564255336c61b		https://www.encodeproject.org/files/ENCFF479QQB/@@download/ENCFF479QQB.bed.gz				released	s3://encode-public/2020/12/01/2beb3bae-7361-4ada-a6fb-d8c60b9456b3/ENCFF479QQB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/2beb3bae-7361-4ada-a6fb-d8c60b9456b3/ENCFF479QQB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length		
ENCFF372SXO	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR514VAY	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										HCFC1-human	DNA						2014-07-07	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF479QQB/	378898	ENCODE Processing Pipeline	347a829c1ac3b1c9dcda4a76465b0e09		https://www.encodeproject.org/files/ENCFF372SXO/@@download/ENCFF372SXO.bigBed				released	s3://encode-public/2020/12/01/6078eaf6-af69-4a82-bbe3-773eb535003b/ENCFF372SXO.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/6078eaf6-af69-4a82-bbe3-773eb535003b/ENCFF372SXO.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length		
ENCFF151UJT	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR626VUC	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										ETV6-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF729UXS/, /files/ENCFF974ACI/, /files/ENCFF356LFX/, /files/ENCFF028PUX/, /files/ENCFF923QPK/	371509	ENCODE Processing Pipeline	c17e4b2ecad7bfd5626f3711d549cb8d		https://www.encodeproject.org/files/ENCFF151UJT/@@download/ENCFF151UJT.bed.gz				released	s3://encode-public/2021/02/04/6375cfba-89d6-43d2-b10b-5d76c69fdb05/ENCFF151UJT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/6375cfba-89d6-43d2-b10b-5d76c69fdb05/ENCFF151UJT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, borderline replicate concordance		
